"date","series","yield"
2018-05-31,"Overnight",1.5
2018-05-31,"1-month",1.85
2018-05-31,"3-month",1.96
2018-05-31,"6-month",2.07
2018-05-31,"1-year",1.95
2018-05-31,"2-year",2.03
2018-05-31,"3-year",2.17
2018-05-31,"5-year",2.41
2018-05-31,"10-year",2.79
2018-06-30,"Overnight",1.5
2018-06-30,"1-month",1.94
2018-06-30,"3-month",2.07
2018-06-30,"6-month",2.18
2018-06-30,"1-year",1.997
2018-06-30,"2-year",2.05
2018-06-30,"3-year",2.13
2018-06-30,"5-year",2.36
2018-06-30,"10-year",2.7
2018-07-31,"Overnight",1.5
2018-07-31,"1-month",1.94
2018-07-31,"3-month",2.02
2018-07-31,"6-month",2.18
2018-07-31,"1-year",1.977
2018-07-31,"2-year",2.02
2018-07-31,"3-year",2.09
2018-07-31,"5-year",2.29
2018-07-31,"10-year",2.64
2018-08-31,"Overnight",1.5
2018-08-31,"1-month",1.87
2018-08-31,"3-month",1.96
2018-08-31,"6-month",2.15
2018-08-31,"1-year",1.938
2018-08-31,"2-year",2
2018-08-31,"3-year",2.06
2018-08-31,"5-year",2.24
2018-08-31,"10-year",2.59
2018-09-30,"Overnight",1.5
2018-09-30,"1-month",1.85
2018-09-30,"3-month",1.93
2018-09-30,"6-month",2.12
2018-09-30,"1-year",1.93
2018-09-30,"2-year",2.03
2018-09-30,"3-year",2.06
2018-09-30,"5-year",2.25
2018-09-30,"10-year",2.63
2018-10-31,"Overnight",1.5
2018-10-31,"1-month",1.85
2018-10-31,"3-month",1.93
2018-10-31,"6-month",2.09
2018-10-31,"1-year",1.905
2018-10-31,"2-year",2
2018-10-31,"3-year",2.06
2018-10-31,"5-year",2.28
2018-10-31,"10-year",2.68
2018-11-30,"Overnight",1.5
2018-11-30,"1-month",1.86
2018-11-30,"3-month",1.94
2018-11-30,"6-month",2.11
2018-11-30,"1-year",1.944
2018-11-30,"2-year",2.04
2018-11-30,"3-year",2.11
2018-11-30,"5-year",2.32
2018-11-30,"10-year",2.68
2018-12-31,"Overnight",1.5
2018-12-31,"1-month",1.95
2018-12-31,"3-month",2.02
2018-12-31,"6-month",2.17
2018-12-31,"1-year",1.889
2018-12-31,"2-year",1.95
2018-12-31,"3-year",1.93
2018-12-31,"5-year",2.1
2018-12-31,"10-year",2.43
2019-01-31,"Overnight",1.5
2019-01-31,"1-month",2.01
2019-01-31,"3-month",2.07
2019-01-31,"6-month",2.19
2019-01-31,"1-year",1.751
2019-01-31,"2-year",1.84
2019-01-31,"3-year",1.78
2019-01-31,"5-year",1.91
2019-01-31,"10-year",2.27
2019-02-28,"Overnight",1.5
2019-02-28,"1-month",1.94
2019-02-28,"3-month",1.96
2019-02-28,"6-month",2.08
2019-02-28,"1-year",1.555
2019-02-28,"2-year",1.74
2019-02-28,"3-year",1.67
2019-02-28,"5-year",1.74
2019-02-28,"10-year",2.13
2019-03-31,"Overnight",1.5
2019-03-31,"1-month",1.83
2019-03-31,"3-month",1.83
2019-03-31,"6-month",1.91
2019-03-31,"1-year",1.436
2019-03-31,"2-year",1.6
2019-03-31,"3-year",1.53
2019-03-31,"5-year",1.59
2019-03-31,"10-year",1.96
2019-04-30,"Overnight",1.5
2019-04-30,"1-month",1.69
2019-04-30,"3-month",1.68
2019-04-30,"6-month",1.75
2019-04-30,"1-year",1.226
2019-04-30,"2-year",1.46
2019-04-30,"3-year",1.4
2019-04-30,"5-year",1.48
2019-04-30,"10-year",1.86
2019-05-31,"Overnight",1.5
2019-05-31,"1-month",1.56
2019-05-31,"3-month",1.54
2019-05-31,"6-month",1.55
2019-05-31,"1-year",1.05
2019-05-31,"2-year",1.23
2019-05-31,"3-year",1.21
2019-05-31,"5-year",1.29
2019-05-31,"10-year",1.65
2019-06-30,"Overnight",1.28
2019-06-30,"1-month",1.3
2019-06-30,"3-month",1.29
2019-06-30,"6-month",1.29
2019-06-30,"1-year",0.996
2019-06-30,"2-year",1.01
2019-06-30,"3-year",0.99
2019-06-30,"5-year",1.07
2019-06-30,"10-year",1.38
2019-07-31,"Overnight",1.02
2019-07-31,"1-month",1.11
2019-07-31,"3-month",1.11
2019-07-31,"6-month",1.14
2019-07-31,"1-year",0.889
2019-07-31,"2-year",0.93
2019-07-31,"3-year",0.92
2019-07-31,"5-year",1
2019-07-31,"10-year",1.31
2019-08-31,"Overnight",1
2019-08-31,"1-month",1.04
2019-08-31,"3-month",0.98
2019-08-31,"6-month",0.98
2019-08-31,"1-year",0.785
2019-08-31,"2-year",0.73
2019-08-31,"3-year",0.69
2019-08-31,"5-year",0.71
2019-08-31,"10-year",0.95
2019-09-30,"Overnight",1
2019-09-30,"1-month",1.04
2019-09-30,"3-month",0.98
2019-09-30,"6-month",1.06
2019-09-30,"1-year",0.852
2019-09-30,"2-year",0.8
2019-09-30,"3-year",0.78
2019-09-30,"5-year",0.81
2019-09-30,"10-year",1.03
2019-10-31,"Overnight",0.76
2019-10-31,"1-month",0.91
2019-10-31,"3-month",0.88
2019-10-31,"6-month",0.98
2019-10-31,"1-year",0.756
2019-10-31,"2-year",0.71
2019-10-31,"3-year",0.69
2019-10-31,"5-year",0.76
2019-10-31,"10-year",1.03
2019-11-30,"Overnight",0.75
2019-11-30,"1-month",0.87
2019-11-30,"3-month",0.91
2019-11-30,"6-month",1
2019-11-30,"1-year",0.938
2019-11-30,"2-year",0.79
2019-11-30,"3-year",0.77
2019-11-30,"5-year",0.86
2019-11-30,"10-year",1.15
2019-12-31,"Overnight",0.75
2019-12-31,"1-month",0.85
2019-12-31,"3-month",0.9
2019-12-31,"6-month",0.99
2019-12-31,"1-year",0.74
2019-12-31,"2-year",0.8
2019-12-31,"3-year",0.77
2019-12-31,"5-year",0.88
2019-12-31,"10-year",1.2
2020-01-31,"Overnight",0.75
2020-01-31,"1-month",0.84
2020-01-31,"3-month",0.89
2020-01-31,"6-month",0.97
2020-01-31,"1-year",0.632
2020-01-31,"2-year",0.76
2020-01-31,"3-year",0.75
2020-01-31,"5-year",0.85
2020-01-31,"10-year",1.15
2020-02-29,"Overnight",0.75
2020-02-29,"1-month",0.81
2020-02-29,"3-month",0.89
2020-02-29,"6-month",0.93
2020-02-29,"1-year",0.278
2020-02-29,"2-year",0.7
2020-02-29,"3-year",0.67
2020-02-29,"5-year",0.74
2020-02-29,"10-year",0.98
2020-03-31,"Overnight",0.43
2020-03-31,"1-month",0.54
2020-03-31,"3-month",0.53
2020-03-31,"6-month",0.64
2020-03-31,"1-year",0.22
2020-03-31,"2-year",0.39
2020-03-31,"3-year",0.38
2020-03-31,"5-year",0.5
2020-03-31,"10-year",0.89
2020-04-30,"Overnight",0.16
2020-04-30,"1-month",0.16
2020-04-30,"3-month",0.17
2020-04-30,"6-month",0.27
2020-04-30,"1-year",0.293
2020-04-30,"2-year",0.22
2020-04-30,"3-year",0.26
2020-04-30,"5-year",0.42
2020-04-30,"10-year",0.86
2020-05-31,"Overnight",0.14
2020-05-31,"1-month",0.09
2020-05-31,"3-month",0.1
2020-05-31,"6-month",0.16
2020-05-31,"1-year",0.272
2020-05-31,"2-year",0.24
2020-05-31,"3-year",0.25
2020-05-31,"5-year",0.4
2020-05-31,"10-year",0.91
2020-06-30,"Overnight",0.14
2020-06-30,"1-month",0.09
2020-06-30,"3-month",0.1
2020-06-30,"6-month",0.16
2020-06-30,"1-year",0.247
2020-06-30,"2-year",0.26
2020-06-30,"3-year",0.26
2020-06-30,"5-year",0.4
2020-06-30,"10-year",0.92
2020-07-31,"Overnight",0.13
2020-07-31,"1-month",0.09
2020-07-31,"3-month",0.1
2020-07-31,"6-month",0.17
2020-07-31,"1-year",0.198
